id;product_reference;description;picture_path;ean13;reservation_cost;brand;sub_category;invoice;current_state
153;dos pola-2;;;661202;;;Divers studio;;
154;dos pola-3;;;661203;;;Divers studio;;
155;dos pola-4;;;661204;;;Divers studio;;
156;dos pola-5;;;661205;;;Divers studio;;
157;dos pola-6;;;661206;;;Divers studio;;
158;dos pola-7;;;661207;;;Divers studio;;
159;dos pola-8;;;661208;;;Divers studio;;
160;fix boitier-1;;;661301;;;Divers studio;;
161;manchons de chargement-1;;;661401;;;Divers studio;;
162;manchons de chargement-2;;;661402;;;Divers studio;;
163;spigot-1;;;661501;;;Divers studio;;
164;spigot-2;;;661502;;;Divers studio;;
165;spigot-3;;;661503;;;Divers studio;;
166;spigot-4;;;661504;;;Divers studio;;
167;spigot-5;;;661505;;;Divers studio;;
168;spigot-6;;;661506;;;Divers studio;;
169;spigot-7;;;661507;;;Divers studio;;
170;spigot-8;;;661508;;;Divers studio;;
171;spigot-9;;;661509;;;Divers studio;;
172;spigot-10;;;661510;;;Divers studio;;
173;spigot-11;;;661511;;;Divers studio;;
174;spigot-12;;;661512;;;Divers studio;;
175;spigot-13;;;661513;;;Divers studio;;
176;spigot-14;;;661514;;;Divers studio;;
177;spigot-15;;;661515;;;Divers studio;;
178;spigot-16;;;661516;;;Divers studio;;
179;spigot-17;;;661517;;;Divers studio;;
180;spigot-18;;;661518;;;Divers studio;;
181;spigot-19;;;661519;;;Divers studio;;
182;spigot-20;;;661520;;;Divers studio;;
183;spigot-21;;;661521;;;Divers studio;;
184;spigot-22;;;661522;;;Divers studio;;
185;spigot-23;;;661523;;;Divers studio;;
186;spigot-24;;;661524;;;Divers studio;;
187;spigot-25;;;661525;;;Divers studio;;
188;spigot-26;;;661526;;;Divers studio;;
189;spigot-27;;;661527;;;Divers studio;;
190;spigot-28;;;661528;;;Divers studio;;
191;spigot-29;;;661529;;;Divers studio;;
192;spigot-30;;;661530;;;Divers studio;;
193;spigot-31;;;661531;;;Divers studio;;
194;spigot-32;;;661532;;;Divers studio;;
195;spigot-33;;;661533;;;Divers studio;;
196;spigot-34;;;661534;;;Divers studio;;
197;spigot-35;;;661535;;;Divers studio;;
198;spigot-36;;;661536;;;Divers studio;;
199;spigot-37;;;661537;;;Divers studio;;
200;spigot-38;;;661538;;;Divers studio;;
201;spigot-39;;;661539;;;Divers studio;;
202;spigot-40;;;661540;;;Divers studio;;
203;spigot-41;;;661541;;;Divers studio;;
204;spigot-42;;;661542;;;Divers studio;;
205;spigot-43;;;661543;;;Divers studio;;
206;spigot-44;;;661544;;;Divers studio;;
207;spigot-45;;;661545;;;Divers studio;;
208;spigot-46;;;661546;;;Divers studio;;
209;spigot-47;;;661547;;;Divers studio;;
210;spigot-48;;;661548;;;Divers studio;;
211;spigot-49;;;661549;;;Divers studio;;
212;spigot-50;;;661550;;;Divers studio;;
213;spigot-51;;;661551;;;Divers studio;;
214;spigot-52;;;661552;;;Divers studio;;
215;spigot-53;;;661553;;;Divers studio;;
