purchase_date;purchase_cost;annual_depreciation_rate;phase_number;description
04/09/2010;1201,68;33,33;0000000691;PC mini tower T3500 4L4SV4J
04/09/2010;1201,68;33,33;0000000692;PC mini tower T3500 5L4SV4J
07/09/2010;349,23;20,00;0000000693;Tables et chaises Romane
07/09/2010;5346,12;33,33;0000000694;Vidéoprojecteur Epson XGA EMP1910
09/09/2010;107,87;33,33;0000000695;Support plafond Vidéoprojecteur
13/09/2010;543,46;25,00;0000000696;Baionnette RIFEX RIREC RIRIP
13/09/2010;104,76;50,00;0000000697;Crochets triples
13/09/2010;382,73;50,00;0000000698;Mi axe Expan
20/09/2010;1673,2;33,33;0000000699;EOS 7D +EFS18-135 IS CANON
20/09/2010;1673,2;33,33;0000000700;EOS 7D +EFS18-135 IS CANON
20/09/2010;1673,2;33,33;0000000701;EOS 7D +EFS18-135 IS CANON
20/09/2010;1673,2;33,33;0000000702;EOS 7D +EFS18-135 IS CANON
20/09/2010;1673,2;33,33;0000000703;EOS 7D +EFS18-135 IS CANON
20/09/2010;1673,2;33,33;0000000704;EOS 7D +EFS18-135 IS CANON
20/09/2010;1673,2;33,33;0000000705;EOS 7D +EFS18-135 IS CANON
20/09/2010;1673,2;33,33;0000000706;EOS 7D +EFS18-135 IS CANON
15/10/2010;388;33,33;0000000707;Wacom stylet grip pen
15/10/2010;3359,92;33,33;0000000708;Flash Canon Speedite 580EX II
15/10/2010;679,89;33,33;0000000709;Scanner Epson perfection V750 Pro
04/10/2010;714,65;25,00;0000000710;Ensemble Matériel de sport
09/12/2010;75,03;25,00;0000000715;Norme ISO 16067-1 : 2003
09/12/2010;85,75;25,00;0000000716;Norme ISO 17321-1 : 2006
09/12/2010;61,28;25,00;0000000717;Norme ISO 21550 : 2004
07/03/2011;2256,25;25,00;0000000718;MALUX-36 Générateur magnolux
20/06/2011;22728,78;14,29;0000000719;Serveur informatique Salle des élév
20/06/2011;1662,44;14,29;0000000720;Serveur informatique salle des élèv
28/05/2011;638,24;33,33;0000000721;PC Portable Packard bell NM98GU899F
30/09/2011;766,88;25,00;0000000726;Posemètre
29/11/2011;2083,14;20,00;0000000727;KIT PREMIUMSKYLITE
06/12/2011;328,95;20,00;0000000728;BASE PIED BACKLITE
12/12/2011;5084,05;20,00;0000000729;KIT PREMIER SKYLITE
12/12/2011;963,14;33,33;0000000730;IMPRIMANTE COULEUR
20/12/2011;806,85;33,33;0000000731;ORDINATEUR ACER
20/12/2011;125,33;33,33;0000000732;ACHAT INTERNET
22/08/2011;119;33,33;0000000733;DISQUE DUR FREE
22/08/2011;288,93;33,33;0000000734;BROADCOM NETXTREME
